Product_ID,Product_Name,Product_Category,Price,Image_URL,Details,Ingredients,Nutrition_Dict
83277698,"Wegmans Fresh Cut Fruit Watermelon Chunks, FAMILY PACK", Fresh Cut Fruit,$9.19 each,"https://d2d8wwwkmhfcva.cloudfront.net/750x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_c514508d-4c67-4dc5-8910-c989e6b92ac2.jpeg",NA,NA,{}
,,,,,,,
78965262,"Wegmans Food You Feel Good About Cantaloupe Spears, FAMILY PACK", Fresh Cut Fruit,$9.19 each,"https://d2d8wwwkmhfcva.cloudfront.net/750x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_4446a68f-82e5-4e39-ba5b-a9ffde0dcf81.jpeg",Product of Costa Rica.,NA,{}
,,,,,,,
78965739,"Wegmans Tropical Fruit Bowl, FAMILY PACK", Fresh Cut Fruit,$19.59 each,"https://d2d8wwwkmhfcva.cloudfront.net/750x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_394a28bd-b379-44a6-910b-0c8bfad71474.jpeg",NA,NA,{}
,,,,,,,
79024027,"Wegmans Food You Feel Good About Pineapple Rings, DM Gold", Fresh Cut Fruit,$3.49 each,"https://d2d8wwwkmhfcva.cloudfront.net/750x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_183318e7-b955-4aac-a0ec-0bbf7ecc03ff.jpeg","Remember, your satisfaction is always guaranteed with Wegmans brand products - Danny Wegman. Country of Origin: Costa Rica.",Pineapple.,"{'Calories': ' 90', 'Total Fat': ' 0g', 'Cholesterol': ' 0mg', 'Sodium': ' 0mg', 'Total Carbohydrate': ' 23g', 'Protein': ' 0g'}"
,,,,,,,
79016058,Wegmans Orange Juice, Fresh Cut Fruit,$4.59 each,"https://d2d8wwwkmhfcva.cloudfront.net/750x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_f82e291e-55ed-4061-bffa-88e7e8885108.jpeg","Small Batches.  Big Flavor!Never Heated!  We only offer products we love - and we hope you'll love them too. If not, we'll give you your money back - The Wegmans Family.  Our Food You Feel Good About yellow banner is your shortcut to great-tasting products with no artificial colors, flavors, or preservatives.",NA,"{'Calories': ' 90', 'Total Fat': ' 0g', 'Cholesterol': ' 0mg', 'Sodium': ' 0mg', 'Total Carbohydrate': ' 23g', 'Protein': ' 0g'}"
,,,,,,,
78957465,Wegmans Food You Feel Good About Honeydew Chunks, Fresh Cut Fruit,$5.21 each,"https://d2d8wwwkmhfcva.cloudfront.net/750x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_21829a21-7d3b-47bd-a882-b260de8b1f3f.jpeg",NA,NA,"{'Calories': ' 90', 'Total Fat': ' 0g', 'Cholesterol': ' 0mg', 'Sodium': ' 0mg', 'Total Carbohydrate': ' 23g', 'Protein': ' 0g'}"
,,,,,,,
261952008,Wegmans Organic Lemon Ginger Cayenne Juice, Fresh Cut Fruit,$6.89 each,"https://d2d8wwwkmhfcva.cloudfront.net/750x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_aaeb4382-012b-49ff-bae1-a0b6249db3ec.jpeg",Small Batches-Big Flavor.19% Juice Cold Pressed. Never Heated! Certified Organic by CCOF.,NA,"{'Calories': ' 90', 'Total Fat': ' 0g', 'Cholesterol': ' 0mg', 'Sodium': ' 0mg', 'Total Carbohydrate': ' 23g', 'Protein': ' 0g'}"
,,,,,,,
79205477,"Wegmans Food You Feel Good About Fresh Cut Veggies Guacomole, Small", Fresh Cut Vegetables,$8.69 each,"https://d2d8wwwkmhfcva.cloudfront.net/750x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_47f943fa-4d64-43a9-a9a5-1ce3c2a868c0.jpeg",Keep Refrigerated,NA,{}
,,,,,,,
78984836,Wegmans Organic Cleaned & Cut Butternut Squash, Fresh Cut Vegetables,$4.59 each,"https://d2d8wwwkmhfcva.cloudfront.net/750x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_fbea7ea7-ee4a-432c-acad-8700bb24425c.jpeg","USDA Organic. Washed and Ready To Cook.  While many factors affect heart disease, diets low in saturated fat and cholesterol may reduce the risk of this disease.  Make foods like this part of your plan for heart healthful eating.  The green Organic leaf on the label is our promise that this delicious Food You Feel Good About item has been produced in compliance with USDA Organic standards and that it contains no artificial colors, flavors or preservatives.",Organic Butternut Squash.,"{'Calories': ' 40', 'Total Fat': ' 0g', 'Cholesterol': ' 0mg', 'Sodium': ' 0mg', 'Total Carbohydrate': ' 10g', 'Protein': ' 1g'}"
,,,,,,,
78969954,Wegmans Food You Feel Good About Chopped Onions, Fresh Cut Vegetables,$2.89 each,"https://d2d8wwwkmhfcva.cloudfront.net/750x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_2b5f556c-db5c-4701-80cc-785f14bc6335.jpeg","Processed in Canada. Product of USA.  Our Food You Feel Good About yellow banner is your shortcut to great-tasting products with no artificial colors, flavors, or preservatives.",Onions.,"{'Calories': ' 30', 'Total Fat': ' 0g', 'Cholesterol': ' 0mg', 'Sodium': ' 10mg', 'Total Carbohydrate': ' 7g', 'Protein': ' 1g'}"
,,,,,,,
78971765,Wegmans Food You Feel Good About Sliced Shiitake Mushrooms, Fresh Cut Vegetables,$4.59 each,"https://d2d8wwwkmhfcva.cloudfront.net/750x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_39ad5660-d308-467a-a8b2-93cf66d0e329.jpeg","Product of USA.  Our Food You Feel Good About yellow banner is your shortcut to great-tasting products with no artificial colors, flavors, or preservatives.",Shiitake Mushrooms,"{'Calories': ' 30', 'Total Fat': ' 0g', 'Cholesterol': ' 0mg', 'Sodium': ' 5mg', 'Total Carbohydrate': ' 5g', 'Protein': ' 2g'}"
,,,,,,,
79006134,Wegmans Food You Feel Good About Cleaned and Cut Yams (Sweet Potatoes), Fresh Cut Vegetables,$3.49 each,"https://d2d8wwwkmhfcva.cloudfront.net/750x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_e007fb8d-e560-42d7-919e-fd2630a297a8.jpeg","Heart Healthy. No preservatives. Strive for 5 Fruits & Vegetables a Day (1 bag = about 3 cups vegetables). Let's Get Cooking: Since we've already pre-washed and pre-cut, dinner is closer than you think! As always, you can trust our Food You Feel Good About banner to bring you nature's best with nothing added. While many factors affect heart disease, diets low in saturated fat and cholesterol may reduce the risk of this disease. Make foods like yams part of your plan for heart healthful eating. Remember, your satisfaction is always guaranteed with Wegmans brand products. - The Wegmans Family. Product of USA. Processed in Canada.   Our Food You Feel Good About yellow banner is your shortcut to great-tasting products with no artificial colors, flavors, or preservatives.",Yams (Sweet Potatoes).,"{'Calories': ' 50', 'Total Fat': ' 0g', 'Cholesterol': ' 0mg', 'Sodium': ' 15mg', 'Total Carbohydrate': ' 12g', 'Protein': ' 1g'}"
,,,,,,,
78967531,Wegmans Pico de Gallo Fresh Salsa, Fresh Cut Vegetables,$8.69 each,"https://d2d8wwwkmhfcva.cloudfront.net/750x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_7d99f613-49d3-432c-92b6-bb5fd5e26b46.jpeg",NA,NA,"{'Calories': ' 50', 'Total Fat': ' 0g', 'Cholesterol': ' 0mg', 'Sodium': ' 15mg', 'Total Carbohydrate': ' 12g', 'Protein': ' 1g'}"
,,,,,,,
79953074,"Wegmans Food You Feel Good About Fresh Cut Veggies Guacamole, FAMILY PACK", Fresh Cut Vegetables,$8.69 each,"https://d2d8wwwkmhfcva.cloudfront.net/750x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_9fff8b67-c853-4555-a521-d307cf6fa997.jpeg",Keep Refrigerated,NA,"{'Calories': ' 50', 'Total Fat': ' 0g', 'Cholesterol': ' 0mg', 'Sodium': ' 15mg', 'Total Carbohydrate': ' 12g', 'Protein': ' 1g'}"
,,,,,,,
78959082,Wegmans Food You Feel Good About Diced Mirepoix, Fresh Cut Vegetables,$2.89 each,"https://d2d8wwwkmhfcva.cloudfront.net/750x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_cedc304d-e41b-4532-ac13-a46057cc4e8d.jpeg","Processed in Canada.  Our Food You Feel Good About yellow banner is your shortcut to great-tasting products with no artificial colors, flavors, or preservatives.","Carrots, Celery, Onions.","{'Calories': ' 10', 'Total Fat': ' 0g', 'Cholesterol': ' 0mg', 'Sodium': ' 10mg', 'Total Carbohydrate': ' 2g', 'Protein': ' 0g'}"
,,,,,,,
78974077,Wegmans Food You Feel Good About Diced Celery, Fresh Cut Vegetables,$2.89 each,"https://d2d8wwwkmhfcva.cloudfront.net/750x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_61f124bf-71a6-40d6-8a43-3ed012189a10.jpeg","Cleaned and cut. Processed in Canada. Product of USA.  Our Food You Feel Good About yellow banner is your shortcut to great-tasting products with no artificial colors, flavors, or preservatives.",Celery.,"{'Calories': ' 15', 'Total Fat': ' 0g', 'Cholesterol': ' 0mg', 'Sodium': ' 110mg', 'Total Carbohydrate': ' 3g', 'Protein': ' 1g'}"
,,,,,,,
79006300,Wegmans Food You Feel Good About Diced Green Peppers & Onions, Fresh Cut Vegetables,$2.89 each,"https://d2d8wwwkmhfcva.cloudfront.net/750x/filters:fill(FFF,true):format(jpg)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_63ce31c4-ac4c-4b90-afc4-561668d8f00f.jpeg","Processed in Canada. Product of USA.  Our Food You Feel Good About yellow banner is your shortcut to great-tasting products with no artificial colors, flavors, or preservatives.","Green Bell Peppers, Onions.","{'Calories': ' 25', 'Total Fat': ' 0g', 'Cholesterol': ' 0mg', 'Sodium': ' 5mg', 'Total Carbohydrate': ' 5g', 'Protein': ' 1g'}"
,,,,,,,
